LKQ code;IC - konkurenční kód;Název;oe;Typ auta;Výskyt registrovaných aut na trhu;EAN;Odhad prodeje 2026
ST-ABR14580-3;5502-00-0064941P;výztuha předního nárazníku - hlíníková;51117422221;BMW | 3 (G20, G80, G28) [11\18-] | 316 d (1995ccm\85kW\116HP) [11\20-];826;BMR3582Q2;7
ST-ABR14860;5502-00-0074941P;výztuha předního nárazníku - hlíníková;51115A02FB0;BMW | 5 (G60, G90, G68) [07\23-] | 520 d Mild-Hybrid (1995ccm\128kW\174HP) [07\23-];0;BM43B18A;0
ST-ABR14880;5502-00-0073980P;výztuha zadního nárazníku - hlíníková;51127477445;BMW | 2 Gran Coupe (F44) [11\19-] | 216 d (1496ccm\85kW\116HP) [03\20-];4792;BME499Q2;48
ST-ABR17190;5502-00-1306940P;výztuha předního nárazníku;752101856R;DACIA | DUSTER (HM_) [10\17-] | 1.0 LPG (HMMT) (999ccm\74kW\101HP) [01\19-];6826;DC5AA17A;164
ST-ABR17220;5502-00-1307940P;výztuha předního nárazníku;752107205R;DACIA | JOGGER (RK_) [09\21-] | 1.0 TCe 100 ECO-G (RKMT) (999ccm\74kW\101HP) [09\21-];846;DC11A17A;14
ST-ABR20114;5502-00-2569940P;výztuha předního nárazníku;2614181;FORD | TRANSIT CONNECT V761 Skříňová/velkoprostorová limuzína (SKN) [05\22-] | EcoBlue (1968ccm\55kW\75HP) [05\24-];3;FD6DA17A;1
ST-ABR20550-2;5502-00-2518940P;výztuha předního nárazníku;1839511;FORD | TRANSIT V363 bus (FAD, FBD) [08\13-] | 2.0 EcoBlue (1995ccm\125kW\170HP) [03\16-06\24];2461;UFV09-27110;49
ST-ABR23170;5502-00-1805940P;výztuha předního nárazníku;C2Z18083;JAGUAR | XF I (X250) [03\08-04\15] | 2.0 (1999ccm\177kW\241HP) [06\12-04\15];827;JG3117A;7
ST-ABR28106;5502-00-0834941P;výztuha předního nárazníku;1568851102;MERCEDES-BENZ | GLA-CLASS (X156) [12\13-05\22] | AMG GLA 45 4-matic (156.952) (1991ccm\280kW\381HP) [07\15-06\19];1865;BZ21A18B;15
ST-ABR28490-2;5502-00-3544941P;výztuha předního nárazníku;4476200530;MERCEDES-BENZ | MARCO POLO Camper (W447) [03\15-] | 160 CDI (447.703) (1598ccm\65kW\88HP) [03\15-];2741;BZ70A17C;27
ST-ABR29240;5502-00-0082941P;výztuha předního nárazníku - hlíníková;51117351519;MINI | MINI CLUBMAN (F54) [11\14-] | Cooper (1499ccm\100kW\136HP) [07\15-02\24];279;MN10A17A;2
